プロパティ,スキル名,概要,コスト,拡散性,発覚率,致死率
Bloodborne Infection I,血液媒介感染1,血液を介して感染が広がる最初の段階。,5,10,5,0
Bloodborne Infection II,血液媒介感染2,血液媒介感染が強化され、感染の範囲と効果が拡大する。,10,20,10,0
Bloodborne Infection III,血液媒介感染3,高度な血液媒介感染が可能となり、より迅速に感染が拡大する。,15,35,15,0
Mucosal Infection,粘膜媒介感染,口や目などの粘膜を介して疑似赤血球が侵入し、感染する。,8,25,8,0
Droplet Infection,飛沫媒介感染,咳やくしゃみ、会話によって飛び散る微細な飛沫を介して、他の人の口や鼻、目に疑似赤血球が入り感染する。,12,40,20,0
Direct Contact Infection,接触感染,直接的な接触によって感染が広がる。皮膚接触を通じて疑似赤血球が体内へ侵入するようになる。,6,15,7,0
Aerosolized Infection,微粒子散布感染,リタ自身が自らの血液を微細な粒子状に散布し、空気中で感染を広げる。,20,60,30,0
Surface Parasitic Infection,体表寄生感染,疑似赤血球が地を這い宿主を探しに行くようになる。,18,50,25,0
Bloodsucker-Mediated Infection,吸血生物媒介感染,吸血生物（蚊やダニ）が感染源となり、刺咬時にウイルスを伝播する。,10,30,12,0
Zoonotic Infection,動物媒介感染,動物（犬やネズミなど）が感染源となり、噛みつきなどによって感染が広がる。,14,35,18,0
Foodborne Infection,食品媒介感染," 熱耐性を獲得し、食品加工時の加熱処理にも耐えることができ、食品を介して感染する。",16,45,22,0
Waterborne Infection,水媒介感染,水に耐性を持ち、水道水や農業用水を介して感染を引き起こす。,18,50,28,0